COD_UF;COD_MN;POP_ESTIM
27;508;15932
27;607;8322
27;706;18232
27;805;4344
27;904;6704
27;1001;27281
27;1100;10494
27;1209;10858
27;1308;21264
27;1357;6936
27;1407;57063
27;1506;9558
27;1605;17722
27;1704;17053
27;1803;9081
27;1902;7311
27;2009;10693
27;2108;21698
27;2207;5845
27;2306;56933
27;2355;24219
27;2405;52016
27;2504;11075
27;2553;18205
27;2603;22166
27;2702;4754
27;2801;12790
27;2900;40917
27;3007;15616
27;3106;25631
27;3205;24499
27;3304;18385
27;3403;5253
27;3502;7021
27;3601;8361
27;3700;5770
27;3759;11580
27;3809;23993
27;3908;4155
27;4005;24727
27;4104;17852
27;4203;28635
27;4302;1018948
27;4401;19804
27;4500;32704
27;4609;9163
27;4708;51901
27;4807;13264
27;4906;3514
27;5002;25216
27;5101;24642
27;5200;17856
27;5309;5329
27;5408;7159
27;5507;28236
27;5606;12690
27;5705;21688
27;5804;9373
27;5903;5123
27;6000;11624
27;6109;11496
27;6208;5011
27;6307;73218
27;6406;24399
27;6422;10533
27;6448;13176
27;6505;15245
27;6604;7564
27;6703;63683
27;6802;17827
27;6901;35111
27;7008;2908
27;7107;25039
27;7206;14386
27;7305;27165
27;7404;7786
27;7503;20066
27;7602;11294
27;7701;75120
27;7800;6664
27;7909;7296
27;8006;47654
27;8105;10740
27;8204;6961
27;8303;23927
27;8402;32260
27;8501;34555
27;8600;61251
27;8709;7951
27;8808;34152
27;8907;13828
27;8956;13870
27;9004;6162
27;9103;19980
27;9152;44169
27;9202;27715
27;9301;65611
27;9400;25733
28;100;2374
28;209;21563
28;308;657013
28;407;10056
28;506;18542
28;605;30407
28;670;26816
28;704;8309
28;1009;18109
28;1108;4008
28;1207;29900
28;1306;34213
28;1405;22082
