code_muni;POP_ESTIM
2202117.0;5045
2202133.0;5943
2202174.0;7279
2202208.0;46833
2202251.0;3950
2202307.0;21187
2202406.0;11417
2202455.0;4100
2202505.0;10916
2202539.0;5868
2202554.0;5067
2202604.0;19716
2202653.0;5424
2202703.0;27787
2202711.0;4891
2202729.0;6153
2202737.0;4020
2202752.0;6484
2202778.0;7656
2202802.0;4803
2202851.0;4682
2202901.0;26644
2203008.0;8294
2203107.0;10423
2203206.0;11388
2203230.0;4954
2203255.0;4443
2203271.0;5343
2203305.0;13817
2203354.0;7011
2203404.0;6904
2203420.0;4355
2203453.0;9556
2203503.0;14602
2203602.0;4915
2203701.0;39737
2203750.0;5307
2203800.0;4463
2203859.0;2558
2203909.0;59935
2204006.0;5348
2204105.0;4348
2204154.0;3184
2204204.0;9319
2204303.0;11625
2204352.0;5442
2204402.0;10690
2204501.0;10499
2204550.0;4562
2204600.0;3877
2204659.0;9426
2204709.0;15308
2204808.0;9811
2204907.0;8549
2205003.0;11530
2205102.0;11019
2205151.0;5741
2205201.0;19104
2205250.0;4504
2205276.0;4865
2205300.0;4452
2205359.0;3008
2205409.0;14354
2205458.0;5443
2205508.0;39208
2205516.0;5478
2205524.0;5627
2205532.0;4763
2205540.0;2845
2205557.0;8542
2205565.0;4655
2205573.0;6758
2205581.0;4064
2205599.0;5177
2205607.0;5295
2205706.0;30311
2205805.0;25486
2205854.0;8310
2205904.0;5349
2205953.0;8492
2206001.0;4549
2206050.0;6441
2206100.0;10936
2206209.0;33760
2206308.0;1246
2206357.0;6613
2206407.0;10564
2206506.0;7749
2206605.0;10613
2206654.0;4532
2206670.0;6796
2206696.0;9159
2206704.0;7339
2206720.0;8570
2206753.0;4870
2206803.0;8692
2206902.0;6565
2206951.0;2991
2207009.0;37029
2207108.0;2459
2207207.0;6868
2207306.0;4129
2207355.0;3389
2207405.0;5043
2207504.0;14539
2207553.0;3945
2207603.0;10791
2207702.0;153078
2207751.0;4313
2207777.0;6392
2207793.0;4045
2207801.0;20523
2207850.0;3677
2207900.0;38742
2207934.0;2536
2207959.0;4374
2208007.0;78222
2208106.0;12127
2208205.0;18425
2208304.0;28791
2208403.0;63742
2208502.0;12568
2208551.0;2710
2208601.0;3151
2208650.0;8992
2208700.0;8778
2208809.0;17978
2208858.0;4312
2208874.0;4477
2208908.0;7341
2209005.0;6432
2209104.0;6240
2209153.0;4019
2209203.0;6253
2209302.0;5860
2209351.0;4634
2209377.0;5257
2209401.0;6415
2209450.0;2161
2209500.0;3798
2209559.0;4448
2209609.0;2942
2209658.0;5755
2209708.0;6423
2209757.0;3041
2209807.0;5015
2209856.0;4608
2209872.0;6042
2209906.0;6139
2209955.0;4840
2209971.0;7989
2210003.0;20601
2210052.0;5346
2210102.0;3745
2210201.0;6705
2210300.0;6363
2210359.0;4573
2210375.0;2644
2210383.0;2452
2210391.0;3039
2210409.0;17662
2210508.0;14291
2210607.0;34710
2210623.0;3469
2210631.0;4294
2210656.0;10041
2210706.0;14633
2210805.0;12711
2210904.0;4569
2210938.0;6730
2210953.0;2919
2210979.0;2765
2211001.0;864845
2211100.0;44485
2211209.0;21558
2211308.0;20918
2211357.0;4947
2211407.0;4391
2211506.0;3077
2211605.0;2971
2211704.0;4462
2300101.0;11737
2300150.0;14929
2300200.0;62641
2300309.0;54270
2300408.0;17399
2300507.0;11714
2300606.0;7586
2300705.0;17146
2300754.0;43452
2300804.0;7353
2300903.0;14600
2301000.0;80271
2301109.0;74547
2301208.0;26469
2301257.0;10935
2301307.0;21600
2301406.0;11847
2301505.0;7840
2301604.0;23417
2301703.0;24654
2301802.0;6288
2301851.0;18197
2301901.0;60781
2301950.0;22425
2302008.0;22680
2302057.0;15017
2302107.0;35750
2302206.0;53573
2302305.0;32591
2302404.0;54470
2302503.0;49477
2302602.0;63661
2302701.0;27426
2302800.0;76997
2302909.0;17738
2303006.0;22547
2303105.0;18448
2303204.0;26965
2303303.0;18699
2303402.0;17606
2303501.0;71743
2303600.0;20698
2303659.0;10342
2303709.0;361400
2303808.0;25557
2303907.0;13069
2303931.0;13521
2303956.0;20264
2304004.0;23136
2304103.0;75074
2304202.0;132123
2304236.0;18063
2304251.0;24827
2304269.0;9625
2304277.0;7198
2304285.0;53618
2304301.0;19450
2304350.0;24218
2304400.0;2669342
2304459.0;16480
2304509.0;14072
2304608.0;7618
2304657.0;14399
2304707.0;54748
2304806.0;4844
2304905.0;11068
2304954.0;26064
2305001.0;40642
2305100.0;5193
2305209.0;19978
2305233.0;67337
2305266.0;13353
2305308.0;24997
2305332.0;12525
2305357.0;19934
2305407.0;68018
2305506.0;102498
2305605.0;26178
2305654.0;11593
2305704.0;12463
2305803.0;41964
2305902.0;38166
2306009.0;14297
2306108.0;24156
2306207.0;7827
2306256.0;37980
2306306.0;52675
2306405.0;129358
2306504.0;20382
2306553.0;41826
2306603.0;21647
2306702.0;18162
2306801.0;11401
2306900.0;34682
2307007.0;33705
2307106.0;27174
2307205.0;8111
2307254.0;19816
2307304.0;274207
2307403.0;24833
2307502.0;31508
2307601.0;59540
2307635.0;19691
2307650.0;227886
2307700.0;128978
2307809.0;27361
2307908.0;11233
2308005.0;38737
2308104.0;47962
2308203.0;15057
2308302.0;27512
2308351.0;13155
2308377.0;13818
2308401.0;35393
2308500.0;43797
2308609.0;17234
2308708.0;61890
2308807.0;8724
2308906.0;22534
2309003.0;14537
2309102.0;10823
2309201.0;15565
2309300.0;32328
2309409.0;28607
2309458.0;25703
2309508.0;21427
2309607.0;72203
2309706.0;83432
2309805.0;12261
2309904.0;6533
2310001.0;9386
2310100.0;13322
2310209.0;35076
2310258.0;32744
2310308.0;31521
2310407.0;12226
2310506.0;43258
2310605.0;9077
2310704.0;37751
2310803.0;16307
2310852.0;20567
2310902.0;16959
2310951.0;10951
2311009.0;12336
2311108.0;14996
2311207.0;11045
2311231.0;6419
2311264.0;21084
2311306.0;87728
2311355.0;16178
2311405.0;81082
2311504.0;22149
2311603.0;29053
2311702.0;18491
2311801.0;78194
2311900.0;15819
2311959.0;16554
2312007.0;32452
2312106.0;17700
2312205.0;43703
2312304.0;47903
2312403.0;48422
2312502.0;7645
2312601.0;13000
2312700.0;25496
2312809.0;7623
2312908.0;208935
2313005.0;18324
2313104.0;30697
2313203.0;26251
2313252.0;8592
2313302.0;58859
2313351.0;19187
2313401.0;75946
2313500.0;55918
2313559.0;16271
2313609.0;34792
2313708.0;7733
2313757.0;19825
2313807.0;21850
2313906.0;13840
2313955.0;18420
2314003.0;40721
2314102.0;60889
2400109.0;11136
2400208.0;58017
2400307.0;11035
2400406.0;3252
2400505.0;13577
2400604.0;4735
2400703.0;14529
2400802.0;11714
2400901.0;7145
2401008.0;35845
2401107.0;27774
2401206.0;14306
2401305.0;9655
2401404.0;9271
2401453.0;28374
2401503.0;3998
2401602.0;5497
2401651.0;2223
2401701.0;10210
2401800.0;12699
2401859.0;6549
2401909.0;3684
2402006.0;67952
2402105.0;11217
2402204.0;34276
2402303.0;20493
2402402.0;8180
2402501.0;10759
2402600.0;73497
2402709.0;11179
2402808.0;5506
2402907.0;4912
2403004.0;7998
2403103.0;44786
2403202.0;7076
2403251.0;261469
2403301.0;5638
2403400.0;6045
2403509.0;10505
2403608.0;28583
2403707.0;5985
2403756.0;3054
2403806.0;9116
2403905.0;2824
2404002.0;4068
2404101.0;2786
2404200.0;26328
2404309.0;13037
2404408.0;10383
2404507.0;15659
2404606.0;13766
2404705.0;15491
2404804.0;2241
2404853.0;7548
2404903.0;5878
2405009.0;9133
2405108.0;6878
2405207.0;5268
2405306.0;10181
2405405.0;5055
2405504.0;2612
2405603.0;14837
2405702.0;12396
2405801.0;34955
2405900.0;2654
2406007.0;5951
2406106.0;18295
2406155.0;3898
2406205.0;6769
2406304.0;7544
2406403.0;2732
2406502.0;15614
2406601.0;8245
2406700.0;11277
2406809.0;4759
2406908.0;3996
2407005.0;10116
2407104.0;80792
2407203.0;31814
2407252.0;4020
2407302.0;8347
2407401.0;8725
2407500.0;12371
2407609.0;4601
2407708.0;11251
2407807.0;22451
2407906.0;2105
2408003.0;297378
2408102.0;884122
2408201.0;27602
2408300.0;37343
2408409.0;4258
2408508.0;4812
2408607.0;4254
2408706.0;3768
2408805.0;5237
2408904.0;21477
2408953.0;10848
2409100.0;13277
2409209.0;3089
2409308.0;12755
2409332.0;5551
2409407.0;30394
2409506.0;3237
2409605.0;2458
2409704.0;6716
2409803.0;14806
2409902.0;15129
2410009.0;3838
2410108.0;15413
2410207.0;7867
2410256.0;6437
2410306.0;10395
2410405.0;9621
2410504.0;5098
2410603.0;3201
2410702.0;3579
2410801.0;4204
2410900.0;8128
2411007.0;4467
2411056.0;4106
2411106.0;3600
2411205.0;39674
2411403.0;12791
2411429.0;2680
2411502.0;24136
2411601.0;2747
2411700.0;4449
2411809.0;3584
2411908.0;4228
2412005.0;102400
2412104.0;6193
2412203.0;43899
2412302.0;12856
2412401.0;4634
2412500.0;23519
2412559.0;10282
2412609.0;17579
2412708.0;5971
2412807.0;8202
2412906.0;11055
2413003.0;6424
2413102.0;6086
2413201.0;4440
2413300.0;5762
2413359.0;11938
2413409.0;8078
2413508.0;6229
2413557.0;4800
2413607.0;2440
2413706.0;5522
2413805.0;2566
2413904.0;12279
2414001.0;15727
2414100.0;10786
2414159.0;5952
2414209.0;14180
2414308.0;2414
2414407.0;33287
2414456.0;3237
2414506.0;10555
2414605.0;14659
2414704.0;5500
2414753.0;4177
2414803.0;12481
2414902.0;1718
2415008.0;3170
2500106.0;10234
2500205.0;5640
2500304.0;28496
2500403.0;20849
2500502.0;14489
2500536.0;5492
2500577.0;2567
2500601.0;19588
2500700.0;18034
2500734.0;2238
2500775.0;8347
2500809.0;16987
2500908.0;13470
2501005.0;20312
2501104.0;22819
2501153.0;2128
2501203.0;6998
2501302.0;19153
2501351.0;3990
2501401.0;8993
2501500.0;21318
2501534.0;4892
2501575.0;8359
2501609.0;15384
2501708.0;6036
2501807.0;96880
2501906.0;17676
2502003.0;7342
2502052.0;3501
2502102.0;5366
2502151.0;7051
2502201.0;2561
2502300.0;4975
2502409.0;11917
2502508.0;17804
2502607.0;6117
2502706.0;5263
2502805.0;14122
2502904.0;6449
2503001.0;21828
2503100.0;5611
2503209.0;67736
2503308.0;10244
2503407.0;3682
2503506.0;17187
2503555.0;7173
2503605.0;7201
2503704.0;61993
2503753.0;3193
2503803.0;6014
2503902.0;6013
2504009.0;409731
2504033.0;6523
2504074.0;4162
2504108.0;2659
2504157.0;7468
2504207.0;4932
2504306.0;30546
2504355.0;4852
2504405.0;18982
2504504.0;6654
2504603.0;24670
2504702.0;4786
2504801.0;15445
2504850.0;1921
2504900.0;17319
2505006.0;7797
2505105.0;20338
2505204.0;6803
2505238.0;6353
2505279.0;5227
2505303.0;2516
2505352.0;5330
2505402.0;8297
2505501.0;3798
2505600.0;6552
2505709.0;10453
2505808.0;3596
2505907.0;3522
2506004.0;33007
2506103.0;11253
2506202.0;2989
2506251.0;8316
2506301.0;58833
2506400.0;14129
2506509.0;3428
2506608.0;5929
2506707.0;11819
2506806.0;18103
2506905.0;24477
2507002.0;24692
2507101.0;18664
2507200.0;10962
2507309.0;14431
2507408.0;7739
2507507.0;809015
2507606.0;7936
2507705.0;18171
2507804.0;7150
2507903.0;10756
2508000.0;9867
2508109.0;4666
2508208.0;7719
2508307.0;27503
2508406.0;2737
2508505.0;7256
2508554.0;4332
2508604.0;13080
2508703.0;4009
2508802.0;5759
2508901.0;44882
2509008.0;10955
2509057.0;8558
2509107.0;21837
2509156.0;6617
2509206.0;13918
2509305.0;8434
2509339.0;4500
2509370.0;2908
2509396.0;6569
2509404.0;13284
2509503.0;5669
2509602.0;4816
2509701.0;33222
2509800.0;9902
2509909.0;10454
2510006.0;7301
2510105.0;10638
2510204.0;5949
2510303.0;4906
2510402.0;6526
2510501.0;3932
2510600.0;3039
2510659.0;1771
2510709.0;2419
2510808.0;107605
2510907.0;12347
2511004.0;3801
2511103.0;7843
2511202.0;28458
2511301.0;16075
2511400.0;18703
2511509.0;11917
2511608.0;6635
2511707.0;4976
2511806.0;10579
2511905.0;19065
2512002.0;18564
2512036.0;3888
2512077.0;4307
2512101.0;32801
2512200.0;4209
2512309.0;23345
2512408.0;13680
2512507.0;43967
2512606.0;1956
2512705.0;19621
2512721.0;6089
2512747.0;3588
2512754.0;4521
2512762.0;4509
2512788.0;1948
2512804.0;8526
2512903.0;24176
2513000.0;3885
2513109.0;12140
2513158.0;6558
2513208.0;6583
2513307.0;5889
2513356.0;3595
2513406.0;15382
2513505.0;5162
2513604.0;7031
2513653.0;2636
2513703.0;136586
2513802.0;4573
2513851.0;2521
2513901.0;34031
2513927.0;4529
2513943.0;2615
2513968.0;3073
2513984.0;3392
2514008.0;4199
2514107.0;4422
2514206.0;7630
2514305.0;6359
2514404.0;4682
2514453.0;5957
2514503.0;20251
2514552.0;4003
2514602.0;3557
2514651.0;1801
2514701.0;4141
2514800.0;3628
2514909.0;7724
2515005.0;7368
2515104.0;11661
2515203.0;3489
2515302.0;52625
2515401.0;10775
2515500.0;13699
2515609.0;3148
2515708.0;2909
2515807.0;7041
2515906.0;6099
2515930.0;5024
2515971.0;7783
2516003.0;26407
2516102.0;14989
2516151.0;3555
2516201.0;69444
2516300.0;16966
2516409.0;10911
2516508.0;15376
2516607.0;14726
2516706.0;15161
2516755.0;3058
2516805.0;9455
2516904.0;15242
2517001.0;9907
2517100.0;2810
2517209.0;5348
2517407.0;2240
2600054.0;99990
2600104.0;37259
2600203.0;19635
2600302.0;24885
2600401.0;36771
2600500.0;43443
2600609.0;14636
2600708.0;38386
2600807.0;22972
2600906.0;22829
2601003.0;11150
2601052.0;20524
2601102.0;84418
2601201.0;74338
2601300.0;14385
2601409.0;42659
2601508.0;12073
2601607.0;20729
2601706.0;76439
2601805.0;12719
2601904.0;60798
2602001.0;38146
2602100.0;48554
2602209.0;39184
2602308.0;38134
2602407.0;8993
2602506.0;7487
2602605.0;50742
2602704.0;13155
2602803.0;58378
2602902.0;207048
2603009.0;34221
2603108.0;20380
2603207.0;28739
2603306.0;11053
2603405.0;5750
2603454.0;157828
2603504.0;18765
2603603.0;8551
2603702.0;24804
2603801.0;20048
2603900.0;19551
2603926.0;12932
2604007.0;83641
2604106.0;361118
2604155.0;14341
2604205.0;42892
2604304.0;11807
2604403.0;13518
2604502.0;21698
2604601.0;26421
2604700.0;18207
2604809.0;12578
2604908.0;10906
2605004.0;24107
2605103.0;37111
2605152.0;18908
2605202.0;68875
2605301.0;31825
2605400.0;22131
2605459.0;3061
2605509.0;12123
2605608.0;22624
2605707.0;32873
2605806.0;15457
2605905.0;31052
2606002.0;139788
2606101.0;30604
2606200.0;79758
2606309.0;7486
2606408.0;84074
2606507.0;19197
2606606.0;29235
2606705.0;7762
2606804.0;117019
2606903.0;12228
2607000.0;23247
2607109.0;4548
2607208.0;96204
2607307.0;30854
2607406.0;4918
2607505.0;26349
2607604.0;26258
2607653.0;36447
